"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.537752633E1,-3.024106920E-1,6.451240778E-1,-8.443142474E-2
1.542738875E1,-2.377544791E-1,8.545079827E-1,-2.005887777E-1
1.547725175E1,-5.774097443E-1,8.832679987E-1,6.588665396E-2
1.552711375E1,-4.964796305E-1,-4.767062068E-1,6.799760461E-2
1.557697675E1,-3.815470636E-1,-1.663599163E-3,-7.186288387E-2
1.562683975E1,-8.001040816E-1,2.789975405E-1,1.888410151E-1
1.567670275E1,-4.911108315E-1,9.477729797E-1,1.427736580E-1
1.572656575E1,-4.179195762E-1,5.862214565E-1,4.108328000E-2
1.577642875E1,-2.622739375E-1,3.384551406E-1,5.306389928E-2
1.582629175E1,-3.475281000E-1,-6.923086196E-2,6.148188189E-2
1.587615475E1,-2.661332190E-1,4.852338135E-1,-1.044830307E-2
1.592601775E1,-2.265851796E-1,1.034809589E0,-1.310618818E-1
1.597587975E1,-1.528703123E-1,1.285696626E0,-1.856949627E-1
1.602574275E1,-2.076311707E-1,1.500087261E0,-3.026232123E-1
1.607560575E1,-2.686861455E-1,1.691436172E0,-4.304141700E-1
1.612546875E1,-2.903384268E-1,1.298679590E0,-4.638060033E-1
1.617533175E1,-4.054186642E-1,7.587869763E-1,-3.668642342E-1
1.622519475E1,-5.803688765E-1,2.099003941E-1,-3.785515428E-1
1.627505775E1,-6.459453106E-1,-2.024542242E-1,-3.098724782E-1
1.632492075E1,-4.764319956E-1,1.108690649E-1,-2.662551999E-1
1.637478275E1,4.285820127E-1,-2.261976004E-1,-9.743607789E-2
1.642464575E1,2.932134271E-1,-2.640577793E0,-6.818496585E-1
1.647450921E1,1.585162133E-1,-1.103178263E0,-1.303200275E-1
1.652437221E1,6.954459548E-1,-1.604157209E0,-5.073487163E-1
1.657423521E1,5.185337663E-1,-1.886969924E0,-7.910031080E-1
1.662409821E1,1.343935281E-1,-7.102264166E-1,-2.673379183E-1
1.667396121E1,6.422437429E-1,-2.015759468E0,3.081665188E-2
1.672382421E1,6.734437346E-1,-1.858390331E0,-2.112753987E-1
1.677368621E1,4.462396204E-1,-1.654412866E0,-3.903433084E-1
1.682354921E1,6.641331911E-1,-1.694206119E0,-8.377014101E-2
1.687341221E1,7.831465602E-1,-1.410518408E0,-9.779073298E-3
1.692327521E1,3.986241519E-1,-1.380398273E0,2.032657415E-1
1.697313821E1,1.457826942E-1,-8.700563312E-1,3.129736483E-1
1.702300121E1,3.058300316E-1,-5.779274702E-1,6.533865929E-1
1.707286321E1,1.581911296E-1,-3.510144949E-1,6.229698062E-1
1.712272621E1,3.770442605E-1,-9.429425746E-2,6.172997952E-1
1.717258921E1,4.140545130E-1,-6.626660824E-1,4.965356588E-1
1.722245221E1,2.864340842E-1,-4.042782485E-1,4.045207798E-1
1.727231521E1,-6.764876097E-2,-7.249282300E-2,6.539828330E-2
1.732217821E1,3.496078849E-1,-6.948541999E-1,-2.300270200E-1
1.737204121E1,3.860299289E-1,-3.213142455E-1,1.415278018E-1
1.742190321E1,-3.186357021E-2,4.087125510E-2,1.089136377E-1
1.747176562E1,1.528436691E-1,4.949815571E-3,1.022351719E-2
1.752162862E1,3.660275936E-1,-3.869210184E-1,1.310237497E-1
1.757149162E1,7.659340743E-3,2.026746869E-1,1.987605989E-1
1.762135462E1,-1.520203501E-1,4.164708853E-1,4.141242802E-1
1.767121662E1,2.479875088E-2,4.062770307E-2,5.930672884E-1
1.772107962E1,-1.479631104E-2,-3.052453995E-1,4.200914800E-1
1.777094262E1,1.612258554E-1,-1.250729710E-1,3.030860126E-1
1.782080563E1,2.618745565E-1,-4.376707375E-1,2.070694715E-1
1.787066862E1,6.342915818E-3,-4.849158823E-1,1.641783714E-1
1.792053162E1,3.246844411E-1,-3.652024269E-1,-4.230437279E-1
1.797039363E1,-5.285503268E-1,-5.060313940E-1,-1.500701070E0
1.802025662E1,2.005686164E-1,5.990908742E-1,-1.709017158E0
1.807011962E1,7.283358574E-1,-1.393790990E-1,-1.634587884E0
1.811998262E1,1.122996330E0,-8.574551344E-1,-1.473350286E0
1.816984563E1,1.050425410E0,-5.281090140E-1,-2.072987318E0
1.821970862E1,9.388495684E-1,8.692009747E-2,-2.534162998E0
1.826957062E1,1.009529233E0,-1.899318546E-1,-2.872848988E0
1.831943363E1,9.943352342E-1,1.308334619E-1,-2.575401068E0
1.836929662E1,8.829350471E-1,2.700676918E-1,-2.016177177E0
1.841915962E1,5.777941942E-1,5.708857626E-2,-1.306588769E0
1.846902346E1,1.728080679E-3,-4.045771062E-1,-1.218908727E-1
1.851888546E1,-6.404656172E-1,-6.074230075E-1,4.311834574E-1
1.856874846E1,-6.920372248E-1,-1.386252880E0,2.922839299E-2
1.861861146E1,-4.495519698E-1,6.637637317E-2,2.584419399E-2
1.866847446E1,1.816628277E-1,-2.305347919E-1,1.973067820E-1
1.871833746E1,3.280798197E-1,1.117232144E-1,9.257475287E-2
1.876819946E1,-6.670464575E-2,4.745565355E-2,4.595827162E-1
1.881806246E1,-4.703881741E-1,-2.505119741E-1,4.720899165E-1
1.886792546E1,-5.918059349E-1,-3.297739625E-1,6.892623305E-1
1.891778846E1,-4.123400450E-1,5.906479359E-1,9.421699643E-1
