"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.746927362E1,1.515149231E0,-9.850266266E0,9.714797974E-1
1.751913662E1,2.099234619E0,-9.589059448E0,5.038522339E-1
1.756899962E1,1.943857727E0,-9.219777374E0,1.055754547E0
1.761886262E1,1.781744843E0,-9.382638702E0,2.237846375E-1
1.766872462E1,7.297325134E-1,-1.039243881E1,1.380579071E0
1.771858762E1,2.078278198E0,-9.390721893E0,7.177574158E-1
1.776845062E1,1.720073090E0,-1.028496231E1,1.495240631E0
1.781831363E1,1.672023010E0,-9.307644653E0,1.166823578E0
1.786817662E1,2.716101837E0,-8.331674194E0,2.360740814E0
1.791803962E1,6.493945770E0,-1.069271439E1,4.814288635E0
1.796790163E1,8.549620972E0,-7.963290253E0,-7.484436035E-3
1.801776462E1,4.050127716E0,-9.145232391E0,4.852309570E0
1.806762762E1,3.422482910E0,-1.044213547E1,2.755170593E0
1.811749062E1,2.413431244E0,-1.161165344E1,2.632575531E0
1.816735363E1,6.479575653E0,-9.034013672E0,2.187850342E0
1.821721662E1,6.014642487E0,-8.649613037E0,2.044897614E0
1.826707862E1,8.080945587E0,-9.585766296E0,2.723436584E0
1.831694163E1,6.225703583E0,-8.500523071E0,3.095263367E0
1.836680462E1,4.450095978E0,-8.039182434E0,3.827690277E0
1.841666762E1,1.859582977E0,-4.203558655E0,1.102457428E0
1.846653146E1,2.427651672E0,-1.758842468E0,4.056564331E-1
1.851639346E1,4.892276459E0,-2.518512726E0,8.981323242E-3
1.856625646E1,1.037477554E1,-2.492017822E0,2.741249542E0
1.861611946E1,1.199814972E1,-1.003243744E1,5.052892456E0
1.866598246E1,7.226672058E0,-3.835923157E0,2.734513550E0
1.871584546E1,8.576864319E0,-3.018023987E0,3.608246613E0
1.876570746E1,6.848558350E0,-4.063899078E0,7.348219299E-1
1.881557046E1,6.662345581E0,-2.243983612E0,1.866768036E0
1.886543346E1,1.007929001E1,-4.308340759E0,2.724933472E0
1.891529646E1,9.252708893E0,-4.249064026E0,3.458408203E0
1.896515946E1,7.856711884E0,-3.158132629E0,1.425186310E0
1.901502146E1,7.500752106E0,-5.276976471E0,2.512225800E0
1.906488446E1,6.924450531E0,-4.404291229E0,1.725910950E0
1.911474746E1,8.106841736E0,-4.561913452E0,1.412612457E0
1.916461046E1,6.159391479E0,-6.047574005E0,1.372645569E-1
1.921447346E1,6.010600891E0,-9.180409241E0,2.005828857E0
1.926433546E1,5.810018005E0,-9.333540802E0,1.292412415E0
1.931419846E1,6.223907318E0,-6.585405579E0,6.659651184E-1
1.936406146E1,6.007906494E0,-8.558153229E0,7.536827087E-1
1.941392446E1,5.283712463E0,-8.545729065E0,1.345551910E0
1.946378662E1,6.698869629E0,-8.098010101E0,1.085692291E0
1.951364963E1,7.184310150E0,-7.051386566E0,1.667382660E0
1.956351262E1,7.140900421E0,-8.472381592E0,2.679428101E-1
1.961337562E1,3.764521637E0,-9.816137238E0,3.516188049E-1
1.966323763E1,3.842210083E0,-9.670789490E0,1.199306030E0
1.971310062E1,3.681743774E0,-8.847351837E0,1.219963074E0
