"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.464607198E1,-2.191119957E1,2.713279915E1,-3.800299835E1
1.469607198E1,-2.181359863E1,2.869439888E1,-3.634379959E1
1.474607198E1,-2.170380020E1,3.086599922E1,-3.197620010E1
1.479607198E1,-2.249679947E1,3.340359879E1,-2.681559944E1
1.484607198E1,-2.300919914E1,3.536779785E1,-2.164279938E1
1.489607198E1,-2.347279930E1,3.686840057E1,-1.705559921E1
1.494607198E1,-2.468059921E1,3.844219971E1,-1.277339935E1
1.499607198E1,-2.491239929E1,4.076020050E1,-9.345199585E0
1.504607198E1,-2.448539925E1,4.273659897E1,-7.600599766E0
1.509607198E1,-2.438780022E1,4.180939865E1,-8.857199669E0
1.514607198E1,-2.349720001E1,3.861299896E1,-1.313939953E1
1.519607198E1,-2.286279869E1,3.566059875E1,-1.888559914E1
1.524607198E1,-2.176479912E1,3.291559982E1,-2.514419937E1
1.529607198E1,-2.092300034E1,3.098799896E1,-3.035359955E1
1.534607198E1,-2.002019882E1,2.976799965E1,-3.401359940E1
1.539607198E1,-1.950779915E1,2.787699890E1,-3.731979752E1
1.544607198E1,-2.014220047E1,2.602260017E1,-3.884479904E1
1.549607198E1,-2.073999977E1,2.581519890E1,-3.864960098E1
1.554607198E1,-2.058139992E1,2.824300003E1,-3.591679764E1
1.559607198E1,-2.091079903E1,3.145159912E1,-3.045119858E1
1.564607198E1,-2.200880051E1,3.429420090E1,-2.407059860E1
1.569607198E1,-2.248460007E1,3.640480042E1,-1.831220055E1
1.574607198E1,-2.369239998E1,3.768579865E1,-1.384700012E1
1.579607198E1,-2.424139977E1,3.990620041E1,-9.259799957E0
1.584607198E1,-2.397299957E1,4.224860001E1,-6.429399967E0
1.589607198E1,-2.325319862E1,4.346859741E1,-5.733999729E0
1.594607198E1,-2.366799927E1,4.100419998E1,-7.978799820E0
1.599607198E1,-2.338739967E1,3.785659790E1,-1.345660019E1
1.604607198E1,-2.219179916E1,3.470899963E1,-2.011779976E1
1.609607198E1,-2.077659988E1,3.198839951E1,-2.692539978E1
1.614607198E1,-1.945899963E1,3.046339989E1,-3.262279892E1
1.619607198E1,-1.809259987E1,2.890180016E1,-3.713679886E1
1.624607198E1,-1.729960060E1,2.666919899E1,-4.063819885E1
1.629607198E1,-1.816580009E1,2.458300018E1,-4.209000015E1
1.634607198E1,-1.934919930E1,2.458300018E1,-4.121159744E1
1.639607198E1,-1.880019951E1,2.741339874E1,-3.841780090E1
1.644607198E1,-1.954439926E1,3.080500031E1,-3.291559982E1
1.649607198E1,-2.103279877E1,3.368420029E1,-2.665699959E1
1.654607198E1,-2.336299896E1,3.567279816E1,-2.075219917E1
1.659607198E1,-2.430239868E1,3.742959976E1,-1.611619949E1
1.664607198E1,-2.502219963E1,3.985739899E1,-1.215119934E1
1.669607198E1,-2.418039894E1,4.223640060E1,-1.004059982E1
1.674607198E1,-2.283839989E1,4.298059845E1,-9.967399597E0
1.679607198E1,-2.300919914E1,4.090660095E1,-1.237080002E1
1.684607198E1,-2.311899948E1,3.766139984E1,-1.737279892E1
1.689607198E1,-2.249679947E1,3.450159836E1,-2.344840050E1
1.694607198E1,-2.131340027E1,3.213479996E1,-2.951179886E1
1.699607198E1,-2.050819969E1,3.040239906E1,-3.411119843E1
1.704607198E1,-1.966639900E1,2.890180016E1,-3.731979752E1
1.709607198E1,-1.986159897E1,2.682779884E1,-3.961339951E1
1.714607198E1,-2.147200012E1,2.490019989E1,-4.044300079E1
1.719607198E1,-2.269199944E1,2.536380005E1,-3.917419815E1
1.724607198E1,-2.206979942E1,2.829179955E1,-3.611199951E1
1.729607198E1,-2.230159950E1,3.150039864E1,-3.054879951E1
1.734607198E1,-2.315559959E1,3.461140060E1,-2.540040016E1
1.739607198E1,-2.366799927E1,3.635599899E1,-1.983720016E1
1.744607198E1,-2.421699905E1,3.810059738E1,-1.532319927E1
1.749607198E1,-2.441219902E1,4.054059982E1,-1.135820007E1
1.754607198E1,-2.331419945E1,4.348080063E1,-9.784399986E0
1.759607198E1,-2.138660049E1,4.435919952E1,-9.967399597E0
1.764607198E1,-2.141099930E1,4.199239731E1,-1.279780006E1
1.769607198E1,-2.117919922E1,3.862519836E1,-1.838539886E1
1.774607198E1,-2.030080032E1,3.550199890E1,-2.464399910E1
1.779607198E1,-1.960540009E1,3.301319885E1,-3.070739937E1
1.784607198E1,-1.937360001E1,3.132959938E1,-3.500180054E1
1.789607198E1,-1.919059944E1,2.998760033E1,-3.783219910E1
1.794607198E1,-1.910519981E1,2.847480011E1,-3.943040085E1
1.799607198E1,-2.126459885E1,2.702299881E1,-3.951580048E1
1.804607198E1,-2.258219910E1,2.776719856E1,-3.791759872E1
1.809607198E1,-2.246019936E1,3.059759903E1,-3.489199829E1
1.814607198E1,-2.286279869E1,3.313520050E1,-2.824300003E1
1.819607198E1,-2.372900009E1,3.553860092E1,-2.224059868E1
1.824607198E1,-2.387539864E1,3.716119766E1,-1.687260056E1
1.829607198E1,-2.404619980E1,3.856419754E1,-1.283440018E1
1.834607198E1,-2.408279991E1,4.039419937E1,-9.528200150E0
1.839607198E1,-2.275300026E1,4.240719986E1,-7.978799820E0
1.844607198E1,-2.073999977E1,4.341979980E1,-8.064199448E0
1.849607198E1,-2.080099869E1,4.163859940E1,-1.032119942E1
1.854607198E1,-2.082539940E1,3.858860016E1,-1.564039993E1
1.859607198E1,-2.047159958E1,3.552639771E1,-2.189900017E1
1.864607198E1,-2.003240013E1,3.302539825E1,-2.802339935E1
1.869607198E1,-1.962979889E1,3.125639915E1,-3.251300049E1
1.874607198E1,-1.905640030E1,3.019499969E1,-3.533119965E1
1.879607198E1,-1.926379967E1,2.865779877E1,-3.722219849E1
1.884607198E1,-2.103279877E1,2.690099907E1,-3.801519775E1
1.889607198E1,-2.252120018E1,2.703520012E1,-3.681959915E1
1.894607198E1,-2.171599960E1,2.893840027E1,-3.459920120E1
1.899607198E1,-2.187459946E1,3.217139816E1,-2.910919952E1
1.904607198E1,-2.227719879E1,3.470899963E1,-2.350939941E1
1.909607198E1,-2.230159950E1,3.657559967E1,-1.810479927E1
